"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"139Y",2002,"SOUTH SEAL ROCK",-0.0946479538434053,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"13R",2001,"PYRAMID ROCK",0.526102746492117,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"13Y",2002,"SOUTH SEAL ROCK",-1.10811848500344,"F",12,12,2,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12
"140R",2001,"PYRAMID ROCK",0.260066732062607,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"140Y",2002,"SOUTH SEAL ROCK",0.120714534028103,"M",12,12,2,3,4,5,6,7,8,9,10,11,11,12,12,12,12,12,12
"141R",2001,"PYRAMID ROCK",-0.0946479538434053,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"141Y",2004,"SOUTH SEAL ROCK",0.234729968783606,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"142R",2001,"PYRAMID ROCK",0.62744979960812,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"142Y",2004,"SOUTH SEAL ROCK",0.488097601573615,"M",12,12,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"143R",2001,"PYRAMID ROCK",-0.348015586633414,"F",12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12
"143Y",2004,"SOUTH SEAL ROCK",0.931490958956131,"M",12,12,12,1,2,3,4,5,6,7,12,12,12,12,12,12,12,12,12
"144R",2001,"PYRAMID ROCK",-0.652056745981425,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"144Y",2004,"SOUTH SEAL ROCK",-0.119984717122406,"M",12,12,12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"145R",2001,"PYRAMID ROCK",0.488097601573615,"M",12,2,12,12,12,12,7,12,12,12,12,12,12,12,12,12,12,12,12
"145Y",2004,"SOUTH SEAL ROCK",0.61478141796862,"M",12,12,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"146R",2001,"PYRAMID ROCK",-0.664725127620925,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"146Y",2004,"SOUTH SEAL ROCK",-0.449362639749417,"F",12,12,12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"147R",2001,"PYRAMID ROCK",-0.0819795722039047,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"147Y",2004,"SOUTH SEAL ROCK",0.424755693376113,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"148R",2001,"PYRAMID ROCK",-0.626719982702424,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
