"AnimalID","SiteName","Beach","Region","Time","Sex","Age","Behavior","Platform","date","datetime","pup_evidence"
"462R","SEA LION CAVES",NA,"OREGON",1500,"UNK","P",NA,NA,"12/18/2005",2005-12-18 15:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"01/11/2006",2006-01-11 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"01/12/2006",2006-01-12 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"01/16/2006",2006-01-16 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"01/19/2006",2006-01-19 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"01/23/2006",2006-01-23 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"M",NA,NA,NA,"02/01/2006",2006-02-01 12:00:00,NA
"463R","PYRAMID ROCK",NA,"OREGON",1953,"UNK","P",NA,NA,"07/28/2005",2005-07-28 19:53:00,NA
"463R","PYRAMID ROCK",NA,"OREGON",1715,"UNK","P",NA,NA,"08/22/2005",2005-08-22 17:15:00,NA
"463Y","E BODELTEH ISLAND",NA,"WASH",1200,NA,"J",NA,NA,"09/07/2016",2016-09-07 12:00:00,NA
"463Y","E BODELTEH ISLAND",NA,"WASH",1030,NA,"J",NA,NA,"10/26/2017",2017-10-26 10:30:00,NA
"463Y","CARROLL ISLAND",NA,"WASH",1200,NA,"J",NA,NA,"08/18/2018",2018-08-18 12:00:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1529,"UNK","P",NA,NA,"07/20/2005",2005-07-20 15:29:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1850,"UNK","P",NA,NA,"07/23/2005",2005-07-23 18:50:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1855,"UNK","P",NA,NA,"07/26/2005",2005-07-26 18:55:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1227,"UNK","P",NA,NA,"07/27/2005",2005-07-27 12:27:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1201,"UNK","P",NA,NA,"07/28/2005",2005-07-28 12:01:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1557,"UNK","P",NA,NA,"07/30/2005",2005-07-30 15:57:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1206,"UNK","P",NA,NA,"08/01/2005",2005-08-01 12:06:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1914,"UNK","P",NA,NA,"08/04/2005",2005-08-04 19:14:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1822,"UNK","P",NA,NA,"08/05/2005",2005-08-05 18:22:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1624,"UNK","P",NA,NA,"08/06/2005",2005-08-06 16:24:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1806,"UNK","P",NA,NA,"08/07/2005",2005-08-07 18:06:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1607,"UNK","P",NA,NA,"08/09/2005",2005-08-09 16:07:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1812,"UNK","P",NA,NA,"08/12/2005",2005-08-12 18:12:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1829,"UNK","P",NA,NA,"08/14/2005",2005-08-14 18:29:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1517,"UNK","P",NA,NA,"08/15/2005",2005-08-15 15:17:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",918,"UNK","P",NA,NA,"08/22/2005",2005-08-22 09:18:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1405,"UNK","P",NA,NA,"08/27/2005",2005-08-27 14:05:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1000,"UNK","P",NA,NA,"09/02/2005",2005-09-02 10:00:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",1200,"UNK","P",NA,NA,"09/06/2005",2005-09-06 12:00:00,NA
"464R","PYRAMID ROCK",NA,"OREGON",800,"UNK","P",NA,NA,"09/13/2005",2005-09-13 08:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"01/04/2006",2006-01-04 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"01/11/2006",2006-01-11 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"01/19/2006",2006-01-19 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"01/23/2006",2006-01-23 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"01/26/2006",2006-01-26 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"F",NA,NA,NA,"01/27/2006",2006-01-27 12:00:00,NA
"464R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"02/18/2006",2006-02-18 12:00:00,NA
